   ตอบในมุมมองของคนที่ใช้คำๆนี้ ในบทสนทนา ถ้าเห็นเขาใช้ คำๆนี้แล้วคิดว่า เขามีความสัมพันธ์อย่างไรกับ คนที่เขากำลังพูดด้วย,,,,,,,
สมุด,,,,,,//,เสร็จสิ้น
แหละ,,//,,,,,เสร็จสิ้น
หมอ,,,,//,,,เสร็จสิ้น
ออกรถ,,,,,,//,เสร็จสิ้น
ใส่ใจ,//,,,,,,เสร็จสิ้น
ทอด,,,,,,//,เสร็จสิ้น
เท้า,,,,//,,,เสร็จสิ้น
โอ้ว,,//,,,,,เสร็จสิ้น
พี่,,//,,,,,เสร็จสิ้น
หวาย,,,,,,//,เสร็จสิ้น
อื้ม,,,,,,//,เสร็จสิ้น
หัวจุก,,,,,,//,เสร็จสิ้น
หื้ม,,//,,,,,เสร็จสิ้น
ผู้,,,,,,//,เสร็จสิ้น
ฟิล์ม,,,,,,//,เสร็จสิ้น
พี่น้อง,,//,,,,,เสร็จสิ้น
เคย,,//,,,,,เสร็จสิ้น
ไส้,,,,,,//,เสร็จสิ้น
คัน,,,//,,,,เสร็จสิ้น
สาด,,,,,,//,เสร็จสิ้น
โถ,,,,,,//,เสร็จสิ้น
อี้,,,,,,//,เสร็จสิ้น
ซะ,,,,,//,,เสร็จสิ้น
เท่,//,,,,,,เสร็จสิ้น
อ้อ,,//,,,,,เสร็จสิ้น
มั่ง,,//,,,,,เสร็จสิ้น
ซัน,,,,,,//,เสร็จสิ้น
หิว,,,,,,//,เสร็จสิ้น
บริจาค,,,,//,,,เสร็จสิ้น
รพ.,,//,,,,,เสร็จสิ้น
ว๊าก,//,,,,,,เสร็จสิ้น
อ่าง,,,,,,//,เสร็จสิ้น
พระเอก,,,,,,//,เสร็จสิ้น
ม่ะ,,//,,,,,เสร็จสิ้น
ปวดหัว,,,,,,//,เสร็จสิ้น
วิ่ง,,,,,,//,เสร็จสิ้น
เรียล,,,,,,//,เสร็จสิ้น
ไอ้,,,,,//,,เสร็จสิ้น
อ๋อง,,,,,,//,เสร็จสิ้น
เจงๆ,//,,,,,,เสร็จสิ้น
หิมะ,,,,,,//,เสร็จสิ้น
วาล,,,,,,//,เสร็จสิ้น
หา,,,,,,//,เสร็จสิ้น
ตรงข้าม,,,,,,//,เสร็จสิ้น
กะตัง,,,,,,//,เสร็จสิ้น
จ่ายตลาด,,,,,,//,เสร็จสิ้น
เจ,,,,,,//,เสร็จสิ้น
โอ้ย,,,,,//,,เสร็จสิ้น
ถูก,,,,,,//,เสร็จสิ้น
เก้า,,,,,,//,เสร็จสิ้น
ล่า,,,,,//,,เสร็จสิ้น
โด้ย,//,,,,,,เสร็จสิ้น
งี๊,//,,,,,,เสร็จสิ้น
ขึ้น,,,,,//,,เสร็จสิ้น
ต่าง,,,//,,,,เสร็จสิ้น
บลาๆๆ,//,,,,,,เสร็จสิ้น
วุ้ย,,,,,//,,เสร็จสิ้น
เอ้า,//,,,,,,เสร็จสิ้น
กางเกงใน,//,,,,,,เสร็จสิ้น
บาง,,,,,,//,เสร็จสิ้น
มั้ย,,//,,,,,เสร็จสิ้น
ดิก,,,,,,//,เสร็จสิ้น
ตั้งแต่,,,//,,,,เสร็จสิ้น
นู้น,,//,,,,,เสร็จสิ้น
ไมเกรน,,//,,,,,เสร็จสิ้น
คัม,//,,,,,,เสร็จสิ้น
สังเกต,,,,,,//,เสร็จสิ้น
ฝนตก,,//,,,,,เสร็จสิ้น
หรือ,,//,,,,,เสร็จสิ้น
ฝ่า,,,,//,,,เสร็จสิ้น
หาบ,,,,,,//,เสร็จสิ้น
ภูเขา,,,,,,//,เสร็จสิ้น
ห่อหมก,,//,,,,,เสร็จสิ้น
ชลบุรี,,,,,,//,เสร็จสิ้น
หนึ่ง,,,,,,//,เสร็จสิ้น
เสือ,,,,,,//,เสร็จสิ้น
คนอื่น,,,//,,,,เสร็จสิ้น
แมนเชสเตอร์,,,,,,//,เสร็จสิ้น
อุตุ,,,,,,//,เสร็จสิ้น
เหอะ,,,,,//,,เสร็จสิ้น
ม่าย,//,,,,,,เสร็จสิ้น
เกี่ยว,,,,,,//,เสร็จสิ้น
พิม,,,,,,//,เสร็จสิ้น
ดูก่อน,//,,,,,,เสร็จสิ้น
ถั่วเขียว,,,,,,//,เสร็จสิ้น
อุ้ย,,,,,,//,เสร็จสิ้น
พังงา,,,,,,//,เสร็จสิ้น
พีท,//,,,,,,เสร็จสิ้น
ซัพพอร์ต,,,,,,//,เสร็จสิ้น
ลานีญา,,,,,,//,เสร็จสิ้น
ควาย,,,,,,//,เสร็จสิ้น
ซักผ้า,,,,,,//,เสร็จสิ้น
หนัง,,,,,,//,เสร็จสิ้น
ชิบหาย,,,,,,//,เสร็จสิ้น
ตุ๊,,,,,,//,เสร็จสิ้น
ติดโรค,,,,,,//,เสร็จสิ้น
เส้น,,,,,,//,เสร็จสิ้น
เจี๊ยบ,//,,,,,,เสร็จสิ้น
นุง,//,,,,,,เสร็จสิ้น
ไร้,,,,,,//,เสร็จสิ้น
ตีน,,,,,//,,เสร็จสิ้น
ลัฟวี่,,,,,,//,เสร็จสิ้น
นู่น,,//,,,,,เสร็จสิ้น
รู้,,,,,,//,เสร็จสิ้น
คร่า,//,,,,,,เสร็จสิ้น
เข้า,,,,,,//,เสร็จสิ้น
โพด,,,,,,//,เสร็จสิ้น
พัง,,,,,,//,เสร็จสิ้น
เลา,//,,,,,,เสร็จสิ้น
เริ่ด,//,,,,,,เสร็จสิ้น
อ่ะ,,//,,,,,เสร็จสิ้น
สวัสดี,,,,//,,,เสร็จสิ้น
ปุ๋ย,,,,,,//,เสร็จสิ้น
เบตง,,,,,,//,เสร็จสิ้น
หนาว,,,,,,//,เสร็จสิ้น
ฮือ,//,,,,,,เสร็จสิ้น
ปลอดภัย,,,,,//,,เสร็จสิ้น
เป็นไร,//,,,,,,เสร็จสิ้น
เหี้ย,,,,,//,,เสร็จสิ้น
เอ๊ะ,,,,,,//,เสร็จสิ้น
น้ำตก,,,,,,//,เสร็จสิ้น
แซบ,,,,,,//,เสร็จสิ้น
สามสิบ,,,,,,//,เสร็จสิ้น
ยัง,,//,,,,,เสร็จสิ้น
ผัดไทย,,,,,,//,เสร็จสิ้น
เอ๋ย,,,,,,//,เสร็จสิ้น
รถกระบะ,,,,,,//,เสร็จสิ้น
ดือ,//,,,,,,เสร็จสิ้น
ปวดท้อง,,,,,,//,เสร็จสิ้น
ขรรม,//,,,,,,เสร็จสิ้น
อยู่,,,,,,//,เสร็จสิ้น
นาฬิกาทราย,,,,,,//,เสร็จสิ้น
เจมส์,,,,,,//,เสร็จสิ้น
อีตัว,,,,,//,,เสร็จสิ้น
ไข่ต้ม,,,,,,//,เสร็จสิ้น
ประหลาด,,,,,//,,เสร็จสิ้น
ร้าย,,,,,//,,เสร็จสิ้น
แหวน,,,,,,//,เสร็จสิ้น
เจ็ง,//,,,,,,เสร็จสิ้น
ไร้สาระ,,,,,//,,เสร็จสิ้น
ฝืน,,,,,//,,เสร็จสิ้น
หล่า,//,,,,,,เสร็จสิ้น
โป๊ะ,,,,,//,,เสร็จสิ้น
เป็นหวัด,,,,//,,,เสร็จสิ้น
ช้าง,,,,,,//,เสร็จสิ้น
ผึ้ง,,,,,,//,เสร็จสิ้น
แมว,,,,,,//,เสร็จสิ้น
โรคประจำตัว,,,,,,//,เสร็จสิ้น
อนุโลม,,,,,,//,เสร็จสิ้น
ทะเล,,,,,,//,เสร็จสิ้น
ลำบาก,,,,,,//,เสร็จสิ้น
หัวเราะ,//,,,,,,เสร็จสิ้น
อืม,,,,,//,,เสร็จสิ้น
บ่อย,,,,,,//,เสร็จสิ้น
หน้าอก,,,,,,//,เสร็จสิ้น
ยุ่,//,,,,,,เสร็จสิ้น
มัก,//,,,,,,เสร็จสิ้น
ชัก,,,,,,//,เสร็จสิ้น
นัง,,,,,//,,เสร็จสิ้น
เวงงง,//,,,,,,เสร็จสิ้น
ใคร,,,,,,//,เสร็จสิ้น
แสน,,,,,,//,เสร็จสิ้น
ช้อป,,//,,,,,เสร็จสิ้น
น้อย,,,,,,//,เสร็จสิ้น
ไหน,,//,,,,,เสร็จสิ้น
ผ้าพันคอ,,,,,,//,เสร็จสิ้น
หอมหัวใหญ่,,,,,,//,เสร็จสิ้น
ย่า,,//,,,,,เสร็จสิ้น
เบียด,,,,,//,,เสร็จสิ้น
รำ,,,,,,//,เสร็จสิ้น
เบอร์,,,,//,,,เสร็จสิ้น
ขัง,,,,,,//,เสร็จสิ้น
เหรอ,,,,,,//,เสร็จสิ้น
ระนาด,,,,,,//,เสร็จสิ้น
ขิม,,,,,,//,เสร็จสิ้น
ดวง,,,,,,//,เสร็จสิ้น
หละ,,//,,,,,เสร็จสิ้น
ตู,//,,,,,,เสร็จสิ้น
ไม่,,,,,,//,เสร็จสิ้น
ฮัก,//,,,,,,เสร็จสิ้น
งัย,//,,,,,,เสร็จสิ้น
ทิพย์,,,,,,//,เสร็จสิ้น
สุภาษิต,,,,,,//,เสร็จสิ้น
เต็ม,,,,,,//,เสร็จสิ้น
หน่อย,,,,,,//,เสร็จสิ้น
บ้า,//,,,,,,เสร็จสิ้น
กำลัง,,,,,,//,เสร็จสิ้น
ช่วย,,,,,,//,เสร็จสิ้น
แป,,,,,,//,เสร็จสิ้น
เมน,,,,,,//,เสร็จสิ้น
อิเห้,,,,,//,,เสร็จสิ้น
ป้ะ,//,,,,,,เสร็จสิ้น
ดี,,//,,,,,เสร็จสิ้น
นิว,//,,,,,,เสร็จสิ้น
โอม,//,,,,,,เสร็จสิ้น
ประมาณ,,,,,,//,เสร็จสิ้น
ข้าวมันไก่,,,,,,//,เสร็จสิ้น
เอ็ม,,,,,,//,เสร็จสิ้น
หนวด,,,,,,//,เสร็จสิ้น
ถั่ว,,,,,,//,เสร็จสิ้น
เตรียม,,//,,,,,เสร็จสิ้น
สอง,,,,,,//,เสร็จสิ้น
ท่า,,,,,,//,เสร็จสิ้น
เงิน,,,,,,//,เสร็จสิ้น
โถ่วว,//,,,,,,เสร็จสิ้น
อ.,,//,,,,,เสร็จสิ้น
สัจธรรม,,,,,,//,เสร็จสิ้น
วา,,,,,,//,เสร็จสิ้น
แซะ,,,,,//,,เสร็จสิ้น
พวกเรา,//,,,,,,เสร็จสิ้น
ผัด,,,,,,//,เสร็จสิ้น
แน่,//,,,,,,เสร็จสิ้น
กี,//,,,,,,เสร็จสิ้น
ยู,//,,,,,,เสร็จสิ้น
เปน,//,,,,,,เสร็จสิ้น
ละ,,//,,,,,เสร็จสิ้น
สั*,//,,,,,,เสร็จสิ้น
ตาย,,,,,,//,เสร็จสิ้น
ลง,,,,,,//,เสร็จสิ้น
พระพุทธเจ้า,,,,,,//,เสร็จสิ้น
สระ,,,,,,//,เสร็จสิ้น
คลัง,,,,,,//,เสร็จสิ้น
ฉัน,,,,//,,,เสร็จสิ้น
อู้,,,,,,//,เสร็จสิ้น
ล่ะ,,//,,,,,เสร็จสิ้น
เมิง,//,,,,,,เสร็จสิ้น
ไม,//,,,,,,เสร็จสิ้น
คลี,,,,,,//,เสร็จสิ้น
อร่อย,,,,,,//,เสร็จสิ้น
สะพาย,,,,,,//,เสร็จสิ้น
ไฟไหม้,,,,//,,,เสร็จสิ้น
หวะ,,//,,,,,เสร็จสิ้น
กรุงเทพฯ,,,,,,//,เสร็จสิ้น
นาน,,//,,,,,เสร็จสิ้น
โล,,//,,,,,เสร็จสิ้น
สนุก,,//,,,,,เสร็จสิ้น
ดีใจ,,//,,,,,เสร็จสิ้น
เลว,,,,,//,,เสร็จสิ้น
ยาม,,,,,,//,เสร็จสิ้น
นิ้ว,,,,,,//,เสร็จสิ้น
วาน,,,,,,//,เสร็จสิ้น
รัย,//,,,,,,เสร็จสิ้น
สิ,,//,,,,,เสร็จสิ้น
เนี่ย,,//,,,,,เสร็จสิ้น
ไพร,,,,,,//,เสร็จสิ้น
ฟาง,,,,,,//,เสร็จสิ้น
ซิ,,//,,,,,เสร็จสิ้น
นะคะ,,//,,,,,เสร็จสิ้น
การ์ด,,,,,,//,เสร็จสิ้น
แอม,,,,,,//,เสร็จสิ้น
หรอ,,,,,//,,เสร็จสิ้น
งี้,,//,,,,,เสร็จสิ้น
ขุ่น,,,,,,//,เสร็จสิ้น
ต่อ,,,,,,//,เสร็จสิ้น
ขำ,//,,,,,,เสร็จสิ้น
คิง,,,,,,//,เสร็จสิ้น
หล่ะ,,//,,,,,เสร็จสิ้น
ฝุดๆ,//,,,,,,เสร็จสิ้น
มะนาว,,,,,,//,เสร็จสิ้น
จี๊ด,,,,,,//,เสร็จสิ้น
โทร,,,,,,//,เสร็จสิ้น
อ้วน,//,,,,,,เสร็จสิ้น
อื้อหือ,,//,,,,,เสร็จสิ้น
ช่าย,//,,,,,,เสร็จสิ้น
แบคทีเรีย,,,,,,//,เสร็จสิ้น
ตู้,,,,,,//,เสร็จสิ้น
ชุด,,,,,,//,เสร็จสิ้น
กุ,//,,,,,,เสร็จสิ้น
ป่าว,//,,,,,,เสร็จสิ้น
กระเป๋า,,,,,,//,เสร็จสิ้น
เนี่ยะ,,//,,,,,เสร็จสิ้น
ละเอียด,,,,,,//,เสร็จสิ้น
ฟรี,,,,,,//,เสร็จสิ้น
มุก,,,,,,//,เสร็จสิ้น
หรา,,,,,,//,เสร็จสิ้น
รถพยาบาล,,,,,,//,เสร็จสิ้น
บางที,,,//,,,,เสร็จสิ้น
ด่า,,,,,//,,เสร็จสิ้น
หนิ,,//,,,,,เสร็จสิ้น
น้า,,//,,,,,เสร็จสิ้น
นักร้อง,,,,,,//,เสร็จสิ้น
เหม็น,,,,,//,,เสร็จสิ้น
สามารถ,,,,,,//,เสร็จสิ้น
สบายดี,,,//,,,,เสร็จสิ้น
คูณ,,,,,,//,เสร็จสิ้น
บัก,//,,,,,,เสร็จสิ้น
จ่ะ,,//,,,,,เสร็จสิ้น
บ่น,,,,,,//,เสร็จสิ้น
คนสวย,,,//,,,,เสร็จสิ้น
นุ่ม,,,,,,//,เสร็จสิ้น
เมี๊ยวๆ,//,,,,,,เสร็จสิ้น
หลงทาง,,,,,,//,เสร็จสิ้น
แก,//,,,,,,เสร็จสิ้น
กรุ,,,,,,//,เสร็จสิ้น
ป่า,,,,,,//,เสร็จสิ้น
เสี่ย,//,,,,,,เสร็จสิ้น
แขน,,,,,,//,เสร็จสิ้น
โครงสร้าง,,,,,,//,เสร็จสิ้น
วิจารณ์,,,,,,//,เสร็จสิ้น
โห่,,,,,,//,เสร็จสิ้น
พระ,,,,,,//,เสร็จสิ้น
เต๋า,,,,,,//,เสร็จสิ้น
เย,//,,,,,,เสร็จสิ้น
ปูม้า,,,,,,//,เสร็จสิ้น
ถือศีล,,,,,,//,เสร็จสิ้น
เกลียด,,,,,//,,เสร็จสิ้น
นาง,,,,,//,,เสร็จสิ้น
หู้ยย,//,,,,,,เสร็จสิ้น
ยิ้ม,,,,,,//,เสร็จสิ้น
ห้องน้ำ,,,,,,//,เสร็จสิ้น
ตะโกน,,,,,,//,เสร็จสิ้น
บี,,,,,,//,เสร็จสิ้น
ไห,,,,,,//,เสร็จสิ้น
บล็อค,,,,,,//,เสร็จสิ้น
ข่อย,,,,,,//,เสร็จสิ้น
เว่อร์,//,,,,,,เสร็จสิ้น
จมูก,,,,,,//,เสร็จสิ้น
ตะหาก,,//,,,,,เสร็จสิ้น
ผิด,,,,,,//,เสร็จสิ้น
ใน,,,,,,//,เสร็จสิ้น
ไม่งั้น,,//,,,,,เสร็จสิ้น
เปิ้ล,,,,,,//,เสร็จสิ้น
อนุ,,,,,,//,เสร็จสิ้น
ที่,,,,,,//,เสร็จสิ้น
ข้าว,,,,,,//,เสร็จสิ้น
ฝา,,,,,,//,เสร็จสิ้น
ครัว,,,,,,//,เสร็จสิ้น
ประสาท,,,,,,//,เสร็จสิ้น
ว้าว,//,,,,,,เสร็จสิ้น
นาย,,,,//,,,เสร็จสิ้น
เพิ่ม,,,,,,//,เสร็จสิ้น
แกงเผ็ด,,,,,,//,เสร็จสิ้น
นก,,,,,,//,เสร็จสิ้น
คืน,,,,,,//,เสร็จสิ้น
งั้น,//,,,,,,เสร็จสิ้น
เรา,,//,,,,,เสร็จสิ้น
สิ้,,//,,,,,เสร็จสิ้น
โปรแกรม,,,,,,//,เสร็จสิ้น
ปอนด์,,,,,,//,เสร็จสิ้น
ฉี่,//,,,,,,เสร็จสิ้น
เมา,//,,,,,,เสร็จสิ้น
เชี้ย,,,,,//,,เสร็จสิ้น
วะ,//,,,,,,เสร็จสิ้น
เอ้ย,//,,,,,,เสร็จสิ้น
ข้าวยำ,,,,,,//,เสร็จสิ้น
เดา,,//,,,,,เสร็จสิ้น
งง,//,,,,,,เสร็จสิ้น
ยา,,,,,,//,เสร็จสิ้น
ท้อง,,,,,,//,เสร็จสิ้น
ขิง,,,,,,//,เสร็จสิ้น
ไม้กวาด,,,,,,//,เสร็จสิ้น
บาด,,,,,,//,เสร็จสิ้น
ห่วย,,,,,//,,เสร็จสิ้น
เว้ย,//,,,,,,เสร็จสิ้น
ตุ่น,,,,,,//,เสร็จสิ้น
ซุป,,,,,,//,เสร็จสิ้น
จูน,,,,,,//,เสร็จสิ้น
มิ้ง,,,,,,//,เสร็จสิ้น
ดึง,,,,,,//,เสร็จสิ้น
เว็บ,,,,,,//,เสร็จสิ้น
ม๊า,//,,,,,,เสร็จสิ้น
อ่อม,,,,,,//,เสร็จสิ้น
ชุดว่ายน้ำ,,,,,,//,เสร็จสิ้น
ยาด,,,,,,//,เสร็จสิ้น
ปราง,,,,,,//,เสร็จสิ้น
เน้,//,,,,,,เสร็จสิ้น
ซัก,,,,,,//,เสร็จสิ้น
555,,,//,,,,เสร็จสิ้น
ง้าบบ,//,,,,,,เสร็จสิ้น
เพิ่ง,,//,,,,,เสร็จสิ้น
นิดๆ,//,,,,,,เสร็จสิ้น
บิ่น,//,,,,,,เสร็จสิ้น
ทะลุ,,,,,,//,เสร็จสิ้น
ม้ะ,//,,,,,,เสร็จสิ้น
เปลือย,,//,,,,,เสร็จสิ้น
แล้ว,,//,,,,,เสร็จสิ้น
พ่อ,//,,,,,,เสร็จสิ้น
เกิน,,,,,,//,เสร็จสิ้น
เฮีย,,//,,,,,เสร็จสิ้น
แก้ว,,,,,,//,เสร็จสิ้น
หายใจไม่ออก,//,,,,,,เสร็จสิ้น
อ่ยย,//,,,,,,เสร็จสิ้น
โท,,,,,,//,เสร็จสิ้น
แม๊,//,,,,,,เสร็จสิ้น
ฉลาด,,,,,,//,เสร็จสิ้น
คั้บบบ,//,,,,,,เสร็จสิ้น
ที,,,,,,//,เสร็จสิ้น
ม่อน,,,,,,//,เสร็จสิ้น
ตัวเอง,//,,,,,,เสร็จสิ้น
วาย,,,,,,//,เสร็จสิ้น
ดอย,,,,,,//,เสร็จสิ้น
เอา,,,,,,//,เสร็จสิ้น
แถม,,//,,,,,เสร็จสิ้น
แระ,//,,,,,,เสร็จสิ้น
ทะยอย,,,,,,//,เสร็จสิ้น
จัก,,//,,,,,เสร็จสิ้น
เบ๋อ,//,,,,,,เสร็จสิ้น
จี,,,,,,//,เสร็จสิ้น
ลูกสาว,//,,,,,,เสร็จสิ้น
ทุกวัน,,//,,,,,เสร็จสิ้น
เสื้อกันหนาว,,,,,,//,เสร็จสิ้น
ยาดม,,,,,,//,เสร็จสิ้น
เอิ่มมม,//,,,,,,เสร็จสิ้น
หมาก,,,,,,//,เสร็จสิ้น
เขา,,,,,,//,เสร็จสิ้น
มึง,//,,,,,,เสร็จสิ้น
เอน,,,,,,//,เสร็จสิ้น
หหห,,,,,,//,เสร็จสิ้น
เม่น,,,,,,//,เสร็จสิ้น
เจ้าหน้าที่,,,,//,,,เสร็จสิ้น
ห้า,,,,,,//,เสร็จสิ้น
เห้ยยย,//,,,,,,เสร็จสิ้น
ยิน,,,,,,//,เสร็จสิ้น
ขิต,//,,,,,,เสร็จสิ้น
รี่,,,,,,//,เสร็จสิ้น
ตูน,,,,,,//,เสร็จสิ้น
แพง,,//,,,,,เสร็จสิ้น
กู,//,,,,,,เสร็จสิ้น
ยะลา,,,,,,//,เสร็จสิ้น
ยัย,,,,,//,,เสร็จสิ้น
ปลาช่อน,,,,,,//,เสร็จสิ้น
แย่,,,,,,//,เสร็จสิ้น
ห่า,,,,,//,,เสร็จสิ้น
ปลา,,,,,,//,เสร็จสิ้น
ป่ะ,,//,,,,,เสร็จสิ้น
เหลอ,,//,,,,,เสร็จสิ้น
ไหว้,,,,,,//,เสร็จสิ้น
ง่า,//,,,,,,เสร็จสิ้น
เสด,//,,,,,,เสร็จสิ้น
แจ่ม,,//,,,,,เสร็จสิ้น
พรุ่ง,,,,,,//,เสร็จสิ้น
หมอย,//,,,,,,เสร็จสิ้น
ดิ,//,,,,,,เสร็จสิ้น
กระจง,,//,,,,,เสร็จสิ้น
ไอดาโฮ,,,,,,//,เสร็จสิ้น
รอบเอว,,//,,,,,เสร็จสิ้น
รถตู้,,,,,,//,เสร็จสิ้น
แนน,,,,,,//,เสร็จสิ้น
ส้ม,,,,,,//,เสร็จสิ้น
ผม,,,,//,,,เสร็จสิ้น
รุ้,//,,,,,,เสร็จสิ้น
เปรต,,,,,//,,เสร็จสิ้น
เล็ก,,,,,,//,เสร็จสิ้น
กำเดา,,,,,,//,เสร็จสิ้น
วาฬ,,,,,,//,เสร็จสิ้น
แง้งง,//,,,,,,เสร็จสิ้น
เขิล,//,,,,,,เสร็จสิ้น