idx,word,misspelt form,tags,
,กระมั้ง,,,speaker-addressee-relationship-particle
,ครับ,"คับ,คร๊าบ,ฮับ",SARP,
,ค่ะ,,SARP,SARP
,จ๊ะ,,SARP,
,จ้า,,SARP,
,จ๋า,จร้า,SARP,
,ซิ,,,
,ด้วย,,,
,ดอก,"ดรอก,ดร๊อก",??,
,ดิ,,,
,เถอะ,,,
,นะ,น๊า,,
,นะคะ,นะค่ะ,SARP,
,เน้อ,,,
,เนี่ย,เนี๊ยะ,,
,มั้ง,,,
,ยะ,ย๊ะ,SARP,
,ละ,"ล่ะ,ล๊ะ",,
,ละนะ,ล่ะนะ,,
,ละมั้ง,,,
,เลย,,,
,วะ,,SARP,
,เว้ย,,SARP,
,โว้ย,,SARP,
,หน่อย,,,
,หนิ,,,
,หรอก,,,
,หะ,ฮะ,SARP,
,ห้ะ,ห๊ะ,SARP,
,หา,ห๋า,SARP,
,เหรอ,หรา,,
,ไหม,มั้ย,,
,อะนะ,,,
,เฮ้อ,,,
,เอ่ย,,,
,หรอก,,,
,เนอะ,,,