common_misp,correct
กงศุล,กงสุล
กงกำกงเกวียน,กงเกวียนกำเกวียน
กฏ,กฎ
"กบฎ, กบถ",กบฏ
"กะบาล, -บาน","กบาล, กระบาล"
กรกฏาคม,กรกฎาคม
กรรมกรณ์,กรรมกร
กรรมกร,กรรมกรณ์
"กระตือรือล้น, กะตือรือล้น, กะตือลือล้น",กระตือรือร้น
"กะเพาะ, กะเพราะ, กระเพราะ",กระเพาะ
กิริยา,กริยา
"กรีธา, กรีทา",กรีฑา
กรีฑาทัพ,กรีธาทัพ
"กลยุทธ, กลยุทธิ, กลยุทธิ์",กลยุทธ์
กลางครัน,กลางคัน
กลิ่นไอ,กลิ่นอาย
กลิ้งฑูตล้มขรณ์,กลิ้งทูตล้มขร
กลิ้งฑูตล้มขอน,กลิ้งทูตล้มขร
กล้องโทรทัศน์,กล้องโทรทรรศน์
ก๋วยจั๊บ,กวยจั๊บ
กสิน,กสิณ
"กอป, กอปร์",กอปร
"กลอฟ, กอลฟ์, ก็อลฟ์, ก็อล์ฟ, ก๊อลฟ์, ก๊อล์ฟ",กอล์ฟ
กระทันหัน,กะทันหัน
กระทิ,กะทิ
กระบังลม,กะบังลม
กระปิ,กะปิ
กระพง,กะพง
กระพริบ,กะพริบ
กระพรุน,กะพรุน
กาละมัง,กะละมัง
"กาละแม, กาลาแม, กาละแมร์",กะละแม
กลาสี,กะลาสี
กระล่อน,กะล่อน
กระหรี่,กะหรี่
กระหล่ำ,กะหล่ำ
กระเทย,กะเทย
กระเทาะ,กะเทาะ
"กะเพา, กระเพา, กระเพรา",กะเพรา
กระเหรี่ยง,กะเหรี่ยง
กระโหลก,กะโหลก
กังวาล,กังวาน
กาละเทศะ,กาลเทศะ
กาฬเวลา,กาลเวลา
กำเหน็ด,กำเหน็จ
"กิติมศักดิ์, เกียรติมศักดิ์",กิตติมศักดิ์
กินนะรี,กินรี
กินนรี,กินรี
กริยา,กิริยา
"กุฎ, กุฎิ","กุฎี, กุฏิ"
กเลวราก,กเฬวราก
ก้อ,ก็
ก๊วยเตี๋ยว,ก๋วยเตี๋ยว
เกมส์,เกม
เกร็ดเลือด,เกล็ดเลือด
"เกษียน, เกษียร",เกษียณ
เกษร,เกสร
เก๊าท์,เกาต์
เกียรติ์,เกียรติ
แกงขั่ว,แกงคั่ว
แกงบวช,แกงบวด
แกงบวช,แกงบวด
"แกน, แกรน",แกร็น
"แก๊งค์, แก๊งก์",แก๊ง
ไกล้,ใกล้
ขบฏ,ขบถ
ขวาญ,ขวาน
ขออนุญาติ,ขออนุญาต
ขมักเขม้น,ขะมักเขม้น
ขัดคล่อง,ขัดข้อง
ขาดดุลย์,ขาดดุล
"ขี้เกลียด, ขี้เกียด",ขี้เกียจ
"ขี้เกรียจ, ขี้เกียด, ขี้เกลียด",ขี้เกียจ
โขมย,ขโมย
ข้าราชกาล,ข้าราชการ
ข้ารัชการ,ข้าราชการ
ข้าวเหนียวมูล,ข้าวเหนียวมูน
เขิล,เขิน
"ขะโยกขะเยก, ขะโหยกขะเหยก",โขยกเขยก
"ไข่มุกด์, ไข่มุข",ไข่มุก
"คฑา, คธา",คทา
ฅน,คน
ครรลัย,ครรไล
ครองราช,ครองราชย์
คริสต์กาล,คริสตกาล
คริสต์จักร,คริสตจักร
คริสตทศวรรษ,คริสต์ทศวรรษ
คริสตมาส,คริสต์มาส
คริสตศตวรรษ,คริสต์ศตวรรษ
คริสตศักราช,คริสต์ศักราช
คริสตศาสนา,คริสต์ศาสนา
คริสตศาสนิกชน,คริสต์ศาสนิกชน
ครุท,ครุฑ
คุรุภัณฑ์,ครุภัณฑ์
คุรุศาสตร์,ครุศาสตร์
คฤหาสถ์,คฤหาสน์
"คลิ้ก, คลิ๊ก",คลิก
"คลีนิก, คลินิค",คลินิก
คลิบ,คลิป
คริป,คลิป
ครอส,คอร์ส
คอลัมม์,คอลัมน์
ค๊ะ,คะ
คนอง,คะนอง
คนึง,คะนึง
"คะหมำ, คะม่ำ",คะมำ
เคารวะ,คารวะ
"คาร์ฟ, คราฟ, คาร์พ, คราพ",คาร์ป
คำดุษฎี,คำ สดุดี
คำนวน,คำนวณ
"คุ้กกี้, คุ๊กกี้",คุกกี้
ครุศึกษา,คุรุศึกษา
ฆ้อน,ค้อน
เครือเถาว์,เครือเถา
เครือเถาย์,เครือเถา
เครื่องลาง,เครื่องราง
เครื่องสำอางค์,เครื่องสำอาง
"เค็ก, เค๊ก",เค้ก
"แคะแกน, แคะแกรน, แคระแกน, แคระแกรน",แคระแกร็น
แครอท,แคร์รอต
"แคตตาล็อก, แคตาล็อก",แค็ตตาล็อก
"โครต, โคต, โคด",โคตร
โครงการณ์,โครงการ
โควต้า,โควตา
โควิท,โควิด
โข่ง,โค่ง
"ฆรวาส, ฆารวาส, -วาท",ฆราวาส
ฆาตรกร,ฆาตกร
ฆาตรกรรม,ฆาตกรรม
เคี่ยน,เฆี่ยน
เคี่ยนตี,เฆี่ยนตี
งบดุลย์,งบดุล
งอล,งอน
"งูสวัส, งูสวัสดิ์",งูสวัด
ง้องแง้ง,ง่องแง่ง
โง่เหง้า,โง่เง่า
จงกลม,จงกรม
จรเข้,จระเข้
จลศาสตร์,จลนศาสตร์
จราจล,จลาจล
จงอย,จะงอย
จะ ๆ,จะจะ
"จาละเม็ด, จาระเม็ด, จรเม็ด, จระเม็ด",จะละเม็ด
จั๊กจั่น,จักจั่น
จักร์,จักร
จักรพรรดิ์,จักรพรรดิ
จักรวรรดิ์,จักรวรรดิ
จักรสาน,จักสาน
จารบี,จาระบี
จารไน,จาระไน
จำนงค์,จำนง
"จินตะนาการ, จินตรนาการ",จินตนาการ
จุดใต้,จุดไต้
จุฬาลงกรณมหาวิทยาลัย,จุฬาลงกรณ์มหาวิทยาลัย
เจตจำนงค์,เจตจำนง
เจียรไน,เจียระไน
โจทย์,โจทก์
จัย,ใจ
ฉะบับ,ฉบับ
ฉนั้น,ฉะนั้น
ฉนี้,ฉะนี้
ฉันท์,ฉัน
ฉัน,ฉันท์
"ฉะเพาะ, ฉเพาะ",เฉพาะ
ฉไน,ไฉน
ชมภู,ชมพู
ชมภู่,ชมพู่
ช็อปปิ้ง,ชอปปิง
ช้อปปิ้ง,ชอปปิง
ชนี,ชะนี
ชมด,ชะมด
ชรอย,ชะรอย
ชลอ,ชะลอ
ชักกะเยอ,ชักกะเย่อ
ชัชวาลย์,ชัชวาล
ชีพตักษัย,ชีพิตักษัย
ชีวะประวัติ,ชีวประวัติ
ทรวดเซ,ซวดเซ
ซอฟท์แวร์,ซอฟต์แวร์
ซัพพลาย,ซัปพลาย
ทราบซึ้ง,ซาบซึ้ง
"ทราบซ่าน, -ส้าน",ซาบซ่าน
"ซาละเปา, ซะละเปา",ซาลาเปา
"ซาวด์เสียง, ซาวน์เสียง, ซาวนด์เสียง",ซาวเสียง
"ซีเม็นต์, ซีเมนท์, ซีเม็นท์, ซีเม็น",ซีเมนต์
ซึ่งใจ,ซึ้งใจ
"สุ่ม, สุ้ม",ซุ่ม
สุ้ม,ซุ้ม
ส้องเสพ,ซ่องเสพ
เซ็นติเมตร,เซนติเมตร
เซ็นต์ชื่อ,เซ็นชื่อ
แซบ,แซ่บ
ไซร้ขน,ไซ้ขน
ฌาณ,ฌาน
ฌาปณกิจ,ฌาปนกิจ
กะเฌอ,เฌอ
ญวณ,ญวน
ญัติ,ญัตติ
ญาน,ญาณ
ญาต,ญาติ
ยี่ปุ่น,ญี่ปุ่น
ฏีกา,ฎีกา
ฐากูน,ฐากูร
ฐาณ,ฐาน
ฐานกร,ฐานกรณ์
ฐานบัท,ฐานบัทม์
ฐานเชิงบาท,ฐานเชิงบาตร
ณ.,ณ
"ดอกจันท์, ดอกจันทน์, ดอกจันทร์",ดอกจัน
"ดอกจัน, ดอกจันท์, ดอกจันทร์",ดอกจันทน์
"ดอกไม้จัน, ดอกไม้จันท์, ดอกไม้จันทร์",ดอกไม้จันทน์
"ดัชต์, ดัชท์, ดัทช์",ดัตช์
ดาวโหลด,ดาวน์โหลด
ดำรงค์,ดำรง
"ดำหริ, ดำริห์",ดำริ
ดินทะลาย,ดินทลาย
ดุลย์,ดุล
โดยดุษฎี,ดุษณี
เดินเหิร,เดินเหิน
"แดรก, แด่ก, แดร่ก, แด๊ก",แดก
ตะหงิด,ตงิด
ตรรกกะ,"ตรรกะ, ตรรก-"
ตราสังข์,ตราสัง
ตรึงตา,ตรึงตรา
ตระกร้า,ตะกร้า
ตาราง,ตะราง
ตระโกน,ตะโกน
ตาลขโมย,ตานขโมย
ตะราง,ตาราง
ตาลปัต,ตาลปัตร
ตำหรับ,ตำรับ
ต้มโคร้ง,ต้มโคล้ง
ไต้,ใต้
ไต้เท้า,ใต้เท้า
ไตรยางค์,ไตรยางศ์
ไตร่สวน,ไต่สวน
ใต้,ไต้
ใต้ก๋ง,ไต้ก๋ง
ใต้ฝุ่น,ไต้ฝุ่น
ใต้หวัน,ไต้หวัน
ถนนราดยาง,ถนนลาดยาง
ถล่มทะลาย,ถล่มทลาย
ถั่วพลู,ถั่วพู
ถ่วงดุลย์,ถ่วงดุล
ถเลถไหล,เถลไถล
เถาว์,เถา
ถ่ายตัว,ไถ่ตัว
ทะยอย,ทยอย
ทรงกรด,ทรงกลด
ทรมานทรกรรม,ทรมาทรกรรม
ทรมาร,ทรมาน
ทรราชย์,ทรราช
"ทรนง, ทนง","ทระนง, ทะนง"
ทะลาย,ทลาย
ทวิสเตอร์,ทวิตเตอร์
ทศกัณฑ์,ทศกัณฐ์
ทอมซิน,ทอนซิล
ทนุถนอม,ทะนุถนอม
ทนุบำรุง,"ทะนุบำรุง, ทำนุบำรุง"
ทยาน,ทะยาน
ทลาย,ทะลาย
ทลายมะพร้าว,ทะลายมะพร้าว
ทะเลสาป,ทะเลสาบ
ฑัณฑ์,ทัณฑ์
ทารุน,ทารุณ
ฑีฆายุโก,ทีฆายุโก
"ทุกขกิริยา, ทุกขรกิริยา",ทุกรกิริยา
ทุกข์คติ,ทุคติ
ทุพลภาพ,ทุพพลภาพ
ทุภิกขภัย,ทุพภิกขภัย
"ทุรกันดาน, ทุรกันดาล",ทุรกันดาร
ทุจศีล,ทุศีล
ฑูต,ทูต
ทูลหัว,ทูนหัว
ทูนกระหม่อม,ทูลกระหม่อม
"ทะแยง, แทยง",ทแยง
"ทะโมน, โทมน",ทโมน
เทพพนม,เทพนม
เทิญ,เทอญ
"เทิม, เทิร์ม",เทอม
เทอด,เทิด
เทิดทูล,เทิดทูน
"เทเวศ, เทเวศน์",เทเวศร์
เท่ห์,เท่
ท้าวความ,เท้าความ
แซกแซง,แทรกแซง
แท๊กซี่,แท็กซี่
โทรทรรศน์,โทรทัศน์
โทรศัพย์,โทรศัพท์
ธนาบัตร,ธนบัตร
"ธนานัติ, ธนาณัต",ธนาณัติ
ทำเนียม,ธรรมเนียม
ธัญญพืช,ธัญพืช
"ธำมรง, ทำมะรงค์",ธำมรงค์
ธำรงค์,ธำรง
ธุระกิจ,ธุรกิจ
นพปดล,นพปฎล
นพดล,นภดล
นวตกรรม,นวัตกรรม
"น็อต, น๊อต",นอต
น๊ะ,นะ
"นะค่ะ, นะค๊ะ",นะคะ
สันทนาการ,นันทนาการ
นัยยะ,นัย
นัยตา,นัยน์ตา
นาฑี,นาที
นานับประการ,นานัปการ
นา ๆ,นานา
นิจสิน,นิจศีล
"นิมิตร, นิรมิตร",นิมิต
นิรันด์,นิรันดร์
"นิเทศน์, นิเทส",นิเทศ
นิเวศน์วิทยา,นิเวศวิทยา
หน้า,น่า
หน้าจดจำ,น่าจดจำ
น้ำจัน,น้ำจัณฑ์
"น้ำมันก๊าซ, -ก๊าส",น้ำมันก๊าด
น้ำแข็งใส,น้ำแข็งไส
เนรมิตร,เนรมิต
เนืองนิจ,เนืองนิตย์
หนาแน่น,แน่นหนา
"โน๊ต, โน้ท, โน๊ท",โน้ต
นายหลวง,ในหลวง
บันทัด,บรรทัด
บันทุก,บรรทุก
บันลุ,บรรลุ
บันเลง,บรรเลง
บะหรั่นดี,บรั่นดี
"บริสุทธ, บริสุทธิ",บริสุทธิ์
"บล็อค, บล๊อก",บล็อก
"บรเพ็ด, บอระเพชร",บอระเพ็ด
บังสกุล,บังสุกุล
บังเอิน,บังเอิญ
บัญญัติไตรยางค์,บัญญัติไตรยางศ์
บัตรสนเท่,บัตรสนเท่ห์
บรรดาล,บันดาล
บรรดาร,บันดาล
บรรลือ,บันลือ
บรรเทิง,บันเทิง
บรรได,บันได
บางลำภู,บางลำพู
"บาททะยัก, บาดทยัก",บาดทะยัก
บาต,บาตร
บาทบงส์,บาทบงสุ์
บาดหลวง,บาทหลวง
บำเน็จ,บำเหน็จ
"บิณฑบาตร, บิณฑบาท",บิณฑบาต
บิดพริ้ว,บิดพลิ้ว
บุคล,บุคคล
บุคคลากร,บุคลากร
บุคคลิกภาพ,บุคลิกภาพ
บุปผาชาติ,บุปผชาติ
บุษราคำ,บุษราคัม
บูชายันต์,บูชายัญ
บูรณะปฏิสังขรณ์,บูรณปฏิสังขรณ์
"บ่วงบาศก์, บ่วงบาต, บ่วงบาท",บ่วงบาศ
เบญจเพศ,เบญจเพส
"เบ็นซิน, เบนซิล",เบนซิน
เบรค,เบรก
โบว์,โบ
โปชัว,โบรชัวร์
โบว์ชัว,โบรชัวร์
ปฏิกริยา,ปฏิกิริยา
ปติทิน,ปฏิทิน
ประติพัทธ์,ปฏิพัทธ์
ปฏิสังขร,ปฏิสังขรณ์
"ปฏิสัณฐาน, ปฏิสันถาน",ปฏิสันถาร
ปฏิสันฐาน,ปฏิสันถาร
ปฏิสันภาร,ปฏิสันถาร
ปฎิสัมพันธ์,ปฏิสัมพันธ์
"ปฐมนิเทศก์, ปฐมนิเทศน์",ปฐมนิเทศ
"ปนิธาน, ประนิธาน","ปณิธาน, ประณิธาน"
ปรณนิบัติ,ปรนนิบัติ
ปรมณู,ปรมาณู
ปองดอง,ปรองดอง
ประกายพฤกษ์,ประกายพรึก
ประกาศณียบัตร,ประกาศนียบัตร
ประกาษิต,ประกาศิต
"ประจันบาน, ประจันบาล, ประจัญบาล",ประจัญบาน
ประจัญหน้า,ประจันหน้า
ประจัญห้อง,ประจันห้อง
ประจำการณ์,ประจำการ
ประนต,ประณต
ประนม,ประณม
ประนาม,ประณาม
"ปราณีต, ประนีต",ประณีต
ประดิษฐ์ประดอย,ประดิดประดอย
ประณีประณอม,ประนีประนอม
ประมาน,ประมาณ
ประสพการณ์,ประสบการณ์
"ประสพผลสำเร็จ, ประสพความสำเร็จ","ประสบผลสำเร็จ, ประสบความสำเร็จ"
"ประสูต, ประสูตร",ประสูติ
ประสูติกาล,ประสูติการ
ประสูติการ,ประสูติกาล
"ปะหลาด, ปลาด",ประหลาด
"ประหัดประหาร, ประหัตถ์ประหาร",ประหัตประหาร
ประหาร,"ประหาณ, ปหาน"
"ประหาณ, -หาน, ปะ-","ประหาร, ปหาร"
ประเมิณ,ประเมิน
"ปรำปรา, ปะรำปะรา",ปรัมปรา
ปรัศนีย์,ปรัศนี
ปรากฎ,ปรากฏ
ปรานี,ปราณี
ปราณี,ปรานี
ปราณีปราศัย,ปรานีปราศรัย
ปราถนา,ปรารถนา
ปราศจาค,ปราศจาก
ปล้นสดมภ์,ปล้นสะดม
ปวารนา,ปวารณา
ประติดประต่อ,ปะติดปะต่อ
ประทะ,ปะทะ
"ปแล่ม, แปล่ม",ปะแล่ม
ปักษิณ,ปักษิน
ปางสดุ้งมาร,ปางสะดุ้งมาร
"ปาฏิหาร, ปาฏิหารย์",ปาฏิหาริย์
ปาฏิโมกข์,ปาติโมกข์
ปาริชาติ,ปาริชาต
ปิคนิค,ปิกนิก
ปุโลหิต,ปุโรหิต
เปรมปรีด์,เปรมปรีดิ์
เปรมปรีย์,เปรมปรีดิ์
เปรมปรี,เปรมปรีดิ์
เปอร์เซนต์,เปอร์เซ็นต์
เป๋อเล๋อ,เป๋อเหลอ
โปรเจค,โปรเจกต์
โปรเจ็ค,โปรเจกต์
ผะดุง,ผดุง
ผรุสวาส,ผรุสวาท
ผลลัพท์,ผลลัพธ์
ผัดผ้า,ผลัดผ้า
ผัดเปลี่ยน,ผลัดเปลี่ยน
ผัดเวร,ผลัดเวร
ผลานิสงฆ์,ผลานิสงส์
ผลอย,ผล็อย
ผะอบ,ผอบ
ผลัดผ่อน,ผัดผ่อน
ผลัดวันประกันพรุ่ง,ผัดวันประกันพรุ่ง
ผลัดหนี้,ผัดหนี้
ผัดไท,ผัดไทย
ผาสุข,ผาสุก
ผีซ้ำด้ามพลอย,ผีซ้ำด้ำพลอย
ผลุดลุกผลุดนั่ง,ผุดลุกผุดนั่ง
ผูกพันธ์,ผูกพัน
ผูกพันธุ์,ผูกพัน
ผู้เยา,ผู้เยาว์
เผอไผ,เผลอไผล
"ผเอิญ, ผะเอิญ",เผอิญ
เผลอเรอ,เผอเรอ
เผ่าพัน,เผ่าพันธุ์
แผนการณ์,แผนการ
แผงฤทธิ์,แผลงฤทธิ์
"แผ่ส้าน, แผ่ซ้าน",แผ่ซ่าน
"ผไท, ผะไท",ไผท
ฝรั่งเศษ,ฝรั่งเศส
"ฝักใฝ่, ฝักไฝ่",ฝักฝ่าย
"ฝักฝ่าย, ฝักไฝ่",ฝักใฝ่
ฝากครร,ฝากครรภ์
ฝีดาด,ฝีดาษ
"ฝึกปือ, ฝึกปลือ",ฝึกปรือ
ไฝ่ฝัน,ใฝ่ฝัน
ใฝ,ไฝ
"พงพันธุ์, พงษ์พันธุ์",พงศ์พันธุ์
พจณานุกรม,พจนานุกรม
พะยัก,พยัก
"พะยักพะเยิด, พยักเพยิด",พยักพเยิด
"พยัค, พยัฆ",พยัคฆ์
พะยาน,พยาน
"พญาบาท, พยาบาตร",พยาบาท
พะยุง,พยุง
พรรณา,พรรณนา
พรมจรรย์,พรหมจรรย์
