Topic_EN,Topic_TH
Recycling,การรีไซเคิล
Family Life,ชีวิตครอบครัว
Drug Testing,การตรวจสารเสพติด
News Media,สื่อข่าว
Buying A Car,ซื้อรถ
Capital Punishment,โทษประหารชีวิต
Public Education,การศึกษาสาธารณะ
Exercise And Fitness,ออกกำลังกายและฟิตเนส
Taxes,ภาษี
Family Finance,การเงินภายในครอบครัว
Music,ดนตรี
Pets,สัตว์เลี้ยง
Crime,อาชญากรรม
Care Of The Elderly,การดูแลผู้สูงอายุ
Gun Control,การควบคุมการใช้ปืน
Trial By Jury,พิจารณาโดยคณะลูกขุน
Child Care,ดูแลเด็ก
Movies,ภาพยนตร์
Air Pollution,มลพิษทางอากาศ
Camping,การตั้งแคมป์
Credit Card Use,การใช้บัตรเครดิต
Hobbies And Crafts,งานอดิเรกและงานฝีมือ
Recipes/Food/Cooking,การทำอาหาร
Tv Programs,รายการโทรทัศน์
Women'S Roles,บทบาทสตรี
Choosing A College,การเลือกวิทยาลัย
Clothing And Dress,เสื้อผ้าและเครื่องแต่งกาย
Weather Climate,สภาพอากาศ
Computers,คอมพิวเตอร์
Restaurants,ร้านอาหาร
Gardening,การทำสวน
Houses,บ้าน
Auto Repairs,การซ่อมรถยนต์
Books And Literature,หนังสือและวรรณคดี
Right To Privacy,สิทธิในความเป็นส่วนตัว
Football,ฟุตบอล
Family Reunions,กิจกรรมรวมญาติ